"Set","Feature","Name","Mod","Mod.name","Covar","Intrxn.pval"
"IGCs","Mmus_a_341129_4",NA,NA,NA,"L_Vis4",7.72791726247325e-06
"IGCs","Mmus_a_65909_1",NA,NA,NA,"L_Vis4",7.78188670210577e-09
"IGCs","Mmus_a_671841_1",NA,NA,NA,"L_Vis4",3.02360229553789e-09
"IGCs","Mmus_c_224751_68",NA,NA,NA,"L_Vis4",7.6147972712044e-14
"IGCs","Mmus_c_11488_3",NA,NA,NA,"P_Cross",0.0339121868548029
"IGCs","Mmus_a_1028221_1",NA,NA,NA,"P_TargetQ",0
"IGCs","Mmus_a_131263_5",NA,NA,NA,"P_TargetQ",0
"IGCs","Mmus_a_140805_4",NA,NA,NA,"P_TargetQ",0
"IGCs","Mmus_a_165622_6",NA,NA,NA,"P_TargetQ",0
"IGCs","Mmus_a_201441_3",NA,NA,NA,"P_TargetQ",0
"IGCs","Mmus_a_243840_1",NA,NA,NA,"P_TargetQ",2.79708212323487e-143
"IGCs","Mmus_a_351046_4",NA,NA,NA,"P_TargetQ",0
"IGCs","Mmus_a_383470_1",NA,NA,NA,"P_TargetQ",0
"IGCs","Mmus_a_407036_1",NA,NA,NA,"P_TargetQ",0
"IGCs","Mmus_a_71668_3",NA,NA,NA,"P_TargetQ",2.85010554460539e-197
"IGCs","Mmus_c_207801_1",NA,NA,NA,"P_TargetQ",0
"IGCs","Mmus_a_1022013_1",NA,NA,NA,"P_Time",0.039114625551413
"IGCs","Mmus_a_267291_2",NA,NA,NA,"P_Time",1.64510438664717e-09
"IGCs","Mmus_a_52492_6",NA,NA,NA,"P_Time",1.46512418981674e-28
"IGCs","Mmus_a_868877_1",NA,NA,NA,"P_Time",3.84093832053138e-23
"IGCs","Mmus_c_112540_3",NA,NA,NA,"P_Time",0.0351923893274218
"IGCs","Mmus_c_183292_2",NA,NA,NA,"P_Time",7.47075207404252e-09
"IGCs","Mmus_c_185697_5",NA,NA,NA,"P_Time",1.76940123567535e-06
"IGCs","Mmus_c_198603_6",NA,NA,NA,"P_Time",2.30829917707248e-44
"IGCs","Mmus_c_242763_1",NA,NA,NA,"P_Time",0.00152759708871923
"IGCs","Mmus_a_151749_8",NA,NA,NA,"SS_Vis",0
